Periode,Produk,Kategori,Harga,Stok,Terjual
Januari 2025,DVR 3 Inch,Aksesoris Mobil,2153000,46,32
Januari 2025,DVR AI,Aksesoris Mobil,3255000,35,30
Januari 2025,DVR Quatro,Aksesoris Mobil,3750000,21,16
Januari 2025,Wireless Charger,Aksesoris Mobil,571000,82,73
Januari 2025,Electric Footstep,Aksesoris Mobil,8564000,12,7
Januari 2025,Head Unit Quantum Pro,Multimedia,2781000,26,21
Januari 2025,Head Unit Eclipse Pro,Multimedia,8672000,14,9
Januari 2025,Head Unit Gaming Series,Multimedia,8105000,15,10
Januari 2025,Head Unit Tesla Style,Multimedia,11272000,10,5
Januari 2025,Speaker Coaxial,Audio,367000,72,57
Januari 2025,Subwoofer,Audio,1342000,28,23
Januari 2025,Power Amplifier,Audio,781000,34,28
Januari 2025,DSP Processor,Audio,1560000,20,15
Januari 2025,GPS Antenna,Navigasi,122000,58,47
Januari 2025,Navigation Head Unit,Navigasi,1026000,23,18
Januari 2025,GPS Tracker,GPS Tracking,2183000,24,19
Februari 2025,DVR 3 Inch,Aksesoris Mobil,2121000,47,38
Februari 2025,DVR AI,Aksesoris Mobil,3274000,36,27
Februari 2025,DVR Quatro,Aksesoris Mobil,3771000,24,19
Februari 2025,Wireless Charger,Aksesoris Mobil,584000,66,56
Februari 2025,Electric Footstep,Aksesoris Mobil,8522000,13,8
Februari 2025,Head Unit Quantum Pro,Multimedia,2745000,24,19
Februari 2025,Head Unit Eclipse Pro,Multimedia,8621000,15,10
Februari 2025,Head Unit Gaming Series,Multimedia,7876000,14,9
Februari 2025,Head Unit Tesla Style,Multimedia,10994000,9,4
Februari 2025,Speaker Coaxial,Audio,380000,74,58
Februari 2025,Subwoofer,Audio,1386000,38,27
Februari 2025,Power Amplifier,Audio,790000,39,27
Februari 2025,DSP Processor,Audio,1602000,17,12
Februari 2025,GPS Antenna,Navigasi,119000,71,53
Februari 2025,Navigation Head Unit,Navigasi,1001000,25,18
Februari 2025,GPS Tracker,GPS Tracking,2272000,20,15
Maret 2025,DVR 3 Inch,Aksesoris Mobil,2134000,48,43
Maret 2025,DVR AI,Aksesoris Mobil,3222000,29,24
Maret 2025,DVR Quatro,Aksesoris Mobil,3908000,35,25
Maret 2025,Wireless Charger,Aksesoris Mobil,586000,85,74
Maret 2025,Electric Footstep,Aksesoris Mobil,8618000,13,8
Maret 2025,Head Unit Quantum Pro,Multimedia,2792000,32,27
Maret 2025,Head Unit Eclipse Pro,Multimedia,8854000,16,11
Maret 2025,Head Unit Gaming Series,Multimedia,7970000,16,11
Maret 2025,Head Unit Tesla Style,Multimedia,11374000,11,6
Maret 2025,Speaker Coaxial,Audio,381000,88,64
Maret 2025,Subwoofer,Audio,1336000,41,36
Maret 2025,Power Amplifier,Audio,791000,36,31
Maret 2025,DSP Processor,Audio,1613000,23,17
Maret 2025,GPS Antenna,Navigasi,119000,78,64
Maret 2025,Navigation Head Unit,Navigasi,1018000,35,24
Maret 2025,GPS Tracker,GPS Tracking,2269000,29,21
April 2025,DVR 3 Inch,Aksesoris Mobil,2156000,49,44
April 2025,DVR AI,Aksesoris Mobil,3243000,34,29
April 2025,DVR Quatro,Aksesoris Mobil,3765000,31,25
April 2025,Wireless Charger,Aksesoris Mobil,571000,109,85
April 2025,Electric Footstep,Aksesoris Mobil,8350000,15,10
April 2025,Head Unit Quantum Pro,Multimedia,2766000,33,27
April 2025,Head Unit Eclipse Pro,Multimedia,8541000,16,11
April 2025,Head Unit Gaming Series,Multimedia,7939000,17,12
April 2025,Head Unit Tesla Style,Multimedia,11134000,10,5
April 2025,Speaker Coaxial,Audio,388000,86,66
April 2025,Subwoofer,Audio,1334000,52,39
April 2025,Power Amplifier,Audio,795000,44,38
April 2025,DSP Processor,Audio,1664000,21,16
April 2025,GPS Antenna,Navigasi,124000,83,71
April 2025,Navigation Head Unit,Navigasi,996000,30,23
April 2025,GPS Tracker,GPS Tracking,2148000,25,20
